"Name","State","dataset","classifier","imbalance","min_level","min_type","seed","accuracy","minority_recall","mcc"
"health-random_forest-95/5-horizontal75-s11","finished","health","random_forest","95/5","75","horizontal","11","0.949925925925926","0","0"
"health-random_forest-95/5-vertical100-s55","finished","health","random_forest","95/5","100","vertical","55","0.95","0","0"
"health-random_forest-95/5-vertical100-s44","finished","health","random_forest","95/5","100","vertical","44","0.95","0","0"
"health-random_forest-95/5-vertical100-s33","finished","health","random_forest","95/5","100","vertical","33","0.95","0","0"
"health-random_forest-95/5-vertical100-s11","finished","health","random_forest","95/5","100","vertical","11","0.95","0","0"
"health-random_forest-95/5-vertical100-s22","finished","health","random_forest","95/5","100","vertical","22","0.95","0","0"
"health-random_forest-95/5-horizontal100-s55","finished","health","random_forest","95/5","100","horizontal","55","0.95","0","0"
"health-random_forest-95/5-horizontal100-s44","finished","health","random_forest","95/5","100","horizontal","44","0.95","0","0"
"health-random_forest-95/5-horizontal100-s33","finished","health","random_forest","95/5","100","horizontal","33","0.95","0","0"
"health-random_forest-95/5-horizontal100-s22","finished","health","random_forest","95/5","100","horizontal","22","0.95","0","0"
"health-random_forest-95/5-horizontal100-s11","finished","health","random_forest","95/5","100","horizontal","11","0.95","0","0"
"health-random_forest-90/10-vertical25-s55","finished","health","random_forest","90/10","25","vertical","55","0.8991111111111111","0.006666666666666667","0.031461945212200575"
"health-random_forest-90/10-vertical25-s44","finished","health","random_forest","90/10","25","vertical","44","0.8997777777777778","0.015555555555555557","0.07068293612920713"
"health-random_forest-90/10-vertical25-s33","finished","health","random_forest","90/10","25","vertical","33","0.8988888888888888","0.0022222222222222222","0.005638749098809024"
