dataset,classifier,imbalance,min_level,min_type,seed,run_id
health,logistic_regression,50/50,25,horizontal,44,513
health,logistic_regression,50/50,25,horizontal,55,514
health,logistic_regression,50/50,25,vertical,11,515
health,logistic_regression,50/50,25,vertical,22,516
health,logistic_regression,50/50,25,vertical,33,517
health,logistic_regression,50/50,25,vertical,44,518
health,logistic_regression,50/50,25,vertical,55,519
health,logistic_regression,80/20,100,horizontal,11,520
health,logistic_regression,80/20,100,horizontal,22,521
health,logistic_regression,80/20,100,horizontal,33,522
health,logistic_regression,80/20,100,horizontal,44,523
health,logistic_regression,80/20,100,horizontal,55,524
health,logistic_regression,80/20,100,vertical,11,525
health,logistic_regression,80/20,100,vertical,22,526
health,logistic_regression,80/20,100,vertical,33,527
health,logistic_regression,80/20,100,vertical,44,528
health,logistic_regression,80/20,100,vertical,55,529
health,logistic_regression,80/20,75,horizontal,11,530
health,logistic_regression,80/20,75,horizontal,22,531
health,logistic_regression,80/20,75,horizontal,33,532
health,logistic_regression,80/20,75,horizontal,44,533
health,logistic_regression,80/20,75,horizontal,55,534
health,logistic_regression,80/20,75,vertical,11,535
health,logistic_regression,80/20,75,vertical,22,536
health,logistic_regression,80/20,75,vertical,33,537
health,logistic_regression,80/20,75,vertical,44,538
health,logistic_regression,80/20,75,vertical,55,539
health,logistic_regression,80/20,50,horizontal,11,540
health,logistic_regression,80/20,50,horizontal,22,541
health,logistic_regression,80/20,50,horizontal,33,542
health,logistic_regression,80/20,50,horizontal,44,543
health,logistic_regression,80/20,50,horizontal,55,544
health,logistic_regression,80/20,50,vertical,11,545
health,logistic_regression,80/20,50,vertical,22,546
health,logistic_regression,80/20,50,vertical,33,547
health,logistic_regression,80/20,50,vertical,44,548
health,logistic_regression,80/20,50,vertical,55,549
health,logistic_regression,80/20,25,horizontal,11,550
health,logistic_regression,80/20,25,horizontal,22,551
health,logistic_regression,80/20,25,horizontal,33,552
health,logistic_regression,80/20,25,horizontal,44,553
health,logistic_regression,80/20,25,horizontal,55,554
health,logistic_regression,80/20,25,vertical,11,555
health,logistic_regression,80/20,25,vertical,22,556
health,logistic_regression,80/20,25,vertical,33,557
health,logistic_regression,80/20,25,vertical,44,558
health,logistic_regression,80/20,25,vertical,55,559
health,logistic_regression,90/10,100,horizontal,11,560
health,logistic_regression,90/10,100,horizontal,22,561
health,logistic_regression,90/10,100,horizontal,33,562
health,logistic_regression,90/10,100,horizontal,44,563
health,logistic_regression,90/10,100,horizontal,55,564
health,logistic_regression,90/10,100,vertical,11,565
health,logistic_regression,90/10,100,vertical,22,566
health,logistic_regression,90/10,100,vertical,33,567
health,logistic_regression,90/10,100,vertical,44,568
health,logistic_regression,90/10,100,vertical,55,569
health,logistic_regression,90/10,75,horizontal,11,570
health,logistic_regression,90/10,75,horizontal,22,571
health,logistic_regression,90/10,75,horizontal,33,572
health,logistic_regression,90/10,75,horizontal,44,573
health,logistic_regression,90/10,75,horizontal,55,574
health,logistic_regression,90/10,75,vertical,11,575
health,logistic_regression,90/10,75,vertical,22,576
health,logistic_regression,90/10,75,vertical,33,577
health,logistic_regression,90/10,75,vertical,44,578
health,logistic_regression,90/10,75,vertical,55,579
health,logistic_regression,90/10,50,horizontal,11,580
health,logistic_regression,90/10,50,horizontal,22,581
health,logistic_regression,90/10,50,horizontal,33,582
health,logistic_regression,90/10,50,horizontal,44,583
health,logistic_regression,90/10,50,horizontal,55,584
health,logistic_regression,90/10,50,vertical,11,585
health,logistic_regression,90/10,50,vertical,22,586
health,logistic_regression,90/10,50,vertical,33,587
health,logistic_regression,90/10,50,vertical,44,588
health,logistic_regression,90/10,50,vertical,55,589
health,logistic_regression,90/10,25,horizontal,11,590
health,logistic_regression,90/10,25,horizontal,22,591
health,logistic_regression,90/10,25,horizontal,33,592
health,logistic_regression,90/10,25,horizontal,44,593
health,logistic_regression,90/10,25,horizontal,55,594
